pca1,pca2,pca3,cluster
-0.48631933392951554,1.195231989837384,-1.0026772670722017,1
-0.7846547066560522,1.0328318760900281,-1.4162651047496875,1
1.4314643401685299,-0.12199648052555512,-0.2812910406299317,4
1.2884245521577606,0.21827985605274255,0.5793602027823165,4
1.9760222504112075,0.1416977823665216,1.0613143040568085,4
1.3353179241419444,0.5992496781027756,0.8786215705030215,4
-0.8893021809342683,1.655140961176389,-0.46151365565325597,1
2.1399610631116235,0.7938471609452435,1.257652185774361,4
-0.7626006313952344,2.2253284678426573,0.3674700129389706,1
1.645063001070425,-1.0195669774734033,-1.3186724613604015,4
